Id,Interest,abs_path,pix_mean,pix_median,pix_mode
53a7cf85-79b0-4fc5-9573-96db844d9d98,0.34,D:/unsplash_project/data/images/train/53a7cf85-79b0-4fc5-9573-96db844d9d98.jpg,0.11764706,0.078431375,0.0
7284c072-fcd7-431d-8c4e-1851cd081e7a,0.15,D:/unsplash_project/data/images/train/7284c072-fcd7-431d-8c4e-1851cd081e7a.jpg,0.25882354,0.20392157,0.14509805
0f3863fe-3bec-4e06-b071-8856f74c6f16,0.65,D:/unsplash_project/data/images/train/0f3863fe-3bec-4e06-b071-8856f74c6f16.jpg,0.24705882,0.15294118,0.0627451
9b780435-7bbb-4e0d-8fec-22085e7764b1,0.3,D:/unsplash_project/data/images/train/9b780435-7bbb-4e0d-8fec-22085e7764b1.jpg,0.5019608,0.47843137,0.91764706
4431555f-781a-4cfe-abaf-799d974317f6,0.41,D:/unsplash_project/data/images/train/4431555f-781a-4cfe-abaf-799d974317f6.jpg,0.41568628,0.36862746,0.17254902
976e3b82-735a-4c71-b0a9-2aaa3e0e36a5,0.21,D:/unsplash_project/data/images/train/976e3b82-735a-4c71-b0a9-2aaa3e0e36a5.jpg,0.34901962,0.21176471,0.101960786
edb9fe6e-1d9d-4d70-bb7c-dd454c187ef0,0.7,D:/unsplash_project/data/images/train/edb9fe6e-1d9d-4d70-bb7c-dd454c187ef0.jpg,0.31764707,0.21960784,0.2
3540e5f8-b7d9-4a1e-9fa8-a172847caa1c,0.12,D:/unsplash_project/data/images/train/3540e5f8-b7d9-4a1e-9fa8-a172847caa1c.jpg,0.5529412,0.6,0.6392157
0de3eb8c-166b-436f-9497-4d906e156f77,0.23,D:/unsplash_project/data/images/train/0de3eb8c-166b-436f-9497-4d906e156f77.jpg,0.34901962,0.32941177,0.28235295
2058ec90-a412-4f98-bf17-23c4a8fac834,0.23,D:/unsplash_project/data/images/train/2058ec90-a412-4f98-bf17-23c4a8fac834.jpg,0.7372549,0.7607843,0.92941177
58cf5485-9453-4adf-86e7-d3fcfc28783b,0.73,D:/unsplash_project/data/images/train/58cf5485-9453-4adf-86e7-d3fcfc28783b.jpg,0.24705882,0.17254902,0.11372549
33143a2c-9906-49d9-b9b0-882831bcf1b6,0.4,D:/unsplash_project/data/images/train/33143a2c-9906-49d9-b9b0-882831bcf1b6.jpg,0.16470589,0.09803922,0.007843138
568d6105-d332-4cf2-b83b-ee09a4849ffe,0.25,D:/unsplash_project/data/images/train/568d6105-d332-4cf2-b83b-ee09a4849ffe.jpg,0.54901963,0.6,0.83137256
